rating,date,variation,text,label,cleaned_text,normalized_text,tokens,token_count,processed_text
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1,still learning all the capabilities but so far pretty pretty pretty good,still learning all the capabilities but so far pretty pretty pretty good,still learn capabl far pretti pretti pretti good,8,still learn capabl far pretti pretti pretti good
4,30-Jul-18,Charcoal Fabric ,I like it,1,i like it,i like it,like,1,like
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,she works well needs a learning command for unique owners and users like alexa learn tasha s birthday or alexa learn my definition of fine etc other than that she is great,she works well needs a learning command for unique owners and users like alexa learn tasha s birthday or alexa learn my definition of fine etc other than that she is great,work well need learn command uniqu owner user like alexa learn tasha birthday alexa learn definit fine etc great,19,work well need learn command uniqu owner user like alexa learn tasha birthday alexa learn definit fine etc great
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,the speakers sound pretty good for being so small and setup is pretty easy i bought two and the reason i only rate it a is i have followed the instructions for synching music to both units i know i ve done it correctly but they won t sync that was my primary motivation for purchasing multiple units,the speakers sound pretty good for being so small and setup is pretty easy i bought two and the reason i only rate it a is i have followed the instructions for synching music to both units i know i ve done it correctly but they won t sync that was my primary motivation for purchasing multiple units,speaker sound pretti good small setup pretti easi bought two reason rate follow instruct synch music unit know done correctli sync primari motiv purchas multipl unit,26,speaker sound pretti good small setup pretti easi bought two reason rate follow instruct synch music unit know done correctli sync primari motiv purchas multipl unit
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,this device is awesome,this device is awesome,devic awesom,2,devic awesom
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,i bought this to compare the speaker quality to our first generation speaker and i like the sound better i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,i bought this to compare the speaker quality to our first generation speaker and i like the sound better i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,bought compar speaker qualiti first gener speaker like sound better ship daughter though like fact first gener chargeabl base bought keep mobil need better sound,25,bought compar speaker qualiti first gener speaker like sound better ship daughter though like fact first gener chargeabl base bought keep mobil need better sound
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,love my echo still learning all the things it will do wasn t able to follow instructions included in the package but found a great one on u tube,love my echo still learning all the things it will do wasn t able to follow instructions included in the package but found a great one on u tube,love echo still learn thing abl follow instruct includ packag found great one tube,14,love echo still learn thing abl follow instruct includ packag found great one tube
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,speaker is better than st generation echo,speaker is better than st generation echo,speaker better st gener echo,5,speaker better st gener echo
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,this thing is way cool you should get one if you want to be cool that is,this thing is way cool you should get one if you want to be cool that is,thing way cool get one want cool,7,thing way cool get one want cool
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,this is my first digital assistant so i m giving this a good review speaker is really good for the cheap price on prime day fun to play with and can be used as an alarm clock that s what i was going to get in the first place but i ended up with echo if you haven t had a go with one then definitely try it what i like best is the number of other devices that it can connect with my purchase came with a smart plug for which i connect my lamp to alexa turn of the lights,this is my first digital assistant so i m giving this a good review speaker is really good for the cheap price on prime day fun to play with and can be used as an alarm clock that s what i was going to get in the first place but i ended up with echo if you haven t had a go with one then definitely try it what i like best is the number of other devices that it can connect with my purchase came with a smart plug for which i connect my lamp to alexa turn of the lights,first digit assist give good review speaker realli good cheap price prime day fun play use alarm clock go get first place end echo go one definit tri like best number devic connect purchas came smart plug connect lamp alexa turn light,42,first digit assist give good review speaker realli good cheap price prime day fun play use alarm clock go get first place end echo go one definit tri like best number devic connect purchas came smart plug connect lamp alexa turn light
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1,my husband likes being able to use it to listen to music i wish we knew all it s capabilities,my husband likes being able to use it to listen to music i wish we knew all it s capabilities,husband like abl use listen music wish knew capabl,9,husband like abl use listen music wish knew capabl
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,my android would not allow alexa to connect fortunately my sister was here with her apple cell after an hour tech support fixed the glitches we are up and running,my android would not allow alexa to connect fortunately my sister was here with her apple cell after an hour tech support fixed the glitches we are up and running,android allow alexa connect fortun sister appl cell hour tech support fix glitch run,14,android allow alexa connect fortun sister appl cell hour tech support fix glitch run
4,30-Jul-18,Charcoal Fabric ,So far so good,1,so far so good,so far so good,far good,2,far good
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,tried to play certain broadway shows like camelot and it gives ne the group camelot,tried to play certain broadway shows like camelot and it gives ne the group camelot,tri play certain broadway show like camelot give ne group camelot,11,tri play certain broadway show like camelot give ne group camelot
5,30-Jul-18,Sandstone Fabric ,Great,1,great,great,great,1,great
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,very satisfied with the echo alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa,very satisfied with the echo alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa,satisfi echo alexa control light famili room wife listen jimmi buffet ask alexa,13,satisfi echo alexa control light famili room wife listen jimmi buffet ask alexa
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,it s like siri in fact siri answers more accurately then alexa i don t see a real need for it in my household though it was a good bargain on prime day deals,it s like siri in fact siri answers more accurately then alexa i don t see a real need for it in my household though it was a good bargain on prime day deals,like siri fact siri answer accur alexa see real need household though good bargain prime day deal,17,like siri fact siri answer accur alexa see real need household though good bargain prime day deal
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,love my echo still learning how every thing works but having tons of fun,love my echo still learning how every thing works but having tons of fun,love echo still learn everi thing work ton fun,9,love echo still learn everi thing work ton fun
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1,i love you so much,i love you so much,love much,2,love much
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,1,no different than apple to play a specific list of music you must have an amazon of spotify plus prime etc account so you must pay to play your music stars for that reason everything else is,no different than apple to play a specific list of music you must have an amazon of spotify plus prime etc account so you must pay to play your music stars for that reason everything else is,differ appl play specif list music amazon spotifi plu prime etc account pay play music star reason everyth els,19,differ appl play specif list music amazon spotifi plu prime etc account pay play music star reason everyth els
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,excelente lo unico es que no esta en español,excelente lo unico es que no esta en español,excelent lo unico es que esta en español,8,excelent lo unico es que esta en español
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,i m still learning how to use it but so far my echo is great the sound is actually much better than i was expecting,i m still learning how to use it but so far my echo is great the sound is actually much better than i was expecting,still learn use far echo great sound actual much better expect,11,still learn use far echo great sound actual much better expect
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,works as you d expect and then some also good sound quality considering price on sale and features,works as you d expect and then some also good sound quality considering price on sale and features,work expect also good sound qualiti consid price sale featur,10,work expect also good sound qualiti consid price sale featur
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1,the sound from this echo nd generation is phenomenal not to mention that i just love alexa she is very helpful,the sound from this echo nd generation is phenomenal not to mention that i just love alexa she is very helpful,sound echo nd gener phenomen mention love alexa help,9,sound echo nd gener phenomen mention love alexa help
3,30-Jul-18,Sandstone Fabric ,like google better,1,like google better,like google better,like googl better,3,like googl better
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,just had to have it and now lets play and learn how to get the most out of it,just had to have it and now lets play and learn how to get the most out of it,let play learn get,4,let play learn get
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,works as advertised very easy to setup still learning what this can do,works as advertised very easy to setup still learning what this can do,work advertis easi setup still learn,6,work advertis easi setup still learn
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,great sound and easy to set up,great sound and easy to set up,great sound easi set,4,great sound easi set
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,love alexa bought others for friends,love alexa bought others for friends,love alexa bought other friend,5,love alexa bought other friend
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,love the echo i purchased it for company for my husband he is and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,love the echo i purchased it for company for my husband he is and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,love echo purchas compani husband alexa great say name tell joke play favorit song,14,love echo purchas compani husband alexa great say name tell joke play favorit song
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,love being able to listen to music easily still learning all the features available,love being able to listen to music easily still learning all the features available,love abl listen music easili still learn featur avail,9,love abl listen music easili still learn featur avail
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,did t really know what i could use this device for used it for a few things but need an overview,did t really know what i could use this device for used it for a few things but need an overview,realli know use devic use thing need overview,8,realli know use devic use thing need overview
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,love this just wish it had a built in hub,love this just wish it had a built in hub,love wish built hub,4,love wish built hub
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1,i use it primarily to play music it works wonderfully still getting used to some of the many things it will do amazon has sent several tips since i got it thanks for all your help,i use it primarily to play music it works wonderfully still getting used to some of the many things it will do amazon has sent several tips since i got it thanks for all your help,use primarili play music work wonder still get use mani thing amazon sent sever tip sinc got thank help,19,use primarili play music work wonder still get use mani thing amazon sent sever tip sinc got thank help
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,how easy if was to set up,how easy if was to set up,easi set,2,easi set
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1,fast response which was amazing clear concise answers and sound quality is fantastic i am still getting used to alexia and have not usde echo to its full extent,fast response which was amazing clear concise answers and sound quality is fantastic i am still getting used to alexia and have not usde echo to its full extent,fast respons amaz clear concis answer sound qualiti fantast still get use alexia usd echo full extent,17,fast respons amaz clear concis answer sound qualiti fantast still get use alexia usd echo full extent
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,you re all i need na na nana,you re all i need na na nana,need na na nana,4,need na na nana
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,does everything as expected and more,does everything as expected and more,everyth expect,2,everyth expect
5,30-Jul-18,Sandstone Fabric ,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,i love my echo works just like they said it would i don t have a smart home so i cannot speak about that function but everything else about it is good,i love my echo works just like they said it would i don t have a smart home so i cannot speak about that function but everything else about it is good,love echo work like said smart home speak function everyth els good,12,love echo work like said smart home speak function everyth els good
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,great sound in a small package easy to set up and use fun to own,great sound in a small package easy to set up and use fun to own,great sound small packag easi set use fun,8,great sound small packag easi set use fun
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,works and sounds great,works and sounds great,work sound great,3,work sound great
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,the sound is amazing and many collections of all music,the sound is amazing and many collections of all music,sound amaz mani collect music,5,sound amaz mani collect music
4,30-Jul-18,Sandstone Fabric ,Setting up,1,setting up,setting up,set,1,set
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,she doesn t always listen,she doesn t always listen,alway listen,2,alway listen
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1,it s awesome,it s awesome,awesom,1,awesom
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,i bought this because it can control fios television it works well i m hoping over time it will do more to control fios then i discovered all the other things alexa can do play music you ask for great sound from alexa play games play radio stations play old time radio programs like the long ranger alexa has many apps you can add to her abilities the other day i played madlibs great fun also alexa can control household appliances i just purchased alexa compatible power strips to control lighting fans and tv components i m looking forward to implementing this controll you can also add other alexa components to have chosen music to play in all rooms where the components are located,i bought this because it can control fios television it works well i m hoping over time it will do more to control fios then i discovered all the other things alexa can do play music you ask for great sound from alexa play games play radio stations play old time radio programs like the long ranger alexa has many apps you can add to her abilities the other day i played madlibs great fun also alexa can control household appliances i just purchased alexa compatible power strips to control lighting fans and tv components i m looking forward to implementing this controll you can also add other alexa components to have chosen music to play in all rooms where the components are located,bought control fio televis work well hope time control fio discov thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa mani app add abil day play madlib great fun also alexa control household applianc purchas alexa compat power strip control light fan tv compon look forward implement control also add alexa compon chosen music play room compon locat,71,bought control fio televis work well hope time control fio discov thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa mani app add abil day play madlib great fun also alexa control household applianc purchas alexa compat power strip control light fan tv compon look forward implement control also add alexa compon chosen music play room compon locat
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,the speaker has excellent sound and works perfectly,the speaker has excellent sound and works perfectly,speaker excel sound work perfectli,5,speaker excel sound work perfectli
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1,i like it all,i like it all,like,1,like
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,i love it it does everything,i love it it does everything,love everyth,2,love everyth
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,i was a little nervous when i received my new echo as i m not really tech savvy i found it a bit intimidating at first but it didn t take me to long to figure it out i m very happy with my purchase and now thinking of adding an echo spot,i was a little nervous when i received my new echo as i m not really tech savvy i found it a bit intimidating at first but it didn t take me to long to figure it out i m very happy with my purchase and now thinking of adding an echo spot,littl nervou receiv new echo realli tech savvi found bit intimid first take long figur happi purchas think ad echo spot,21,littl nervou receiv new echo realli tech savvi found bit intimid first take long figur happi purchas think ad echo spot
