label,text,cleaned_text,normalized_text,tokens,token_count,processed_text
0,oh wowwwww that realli aw hope sort relief come soon,oh wowwwww that realli aw hope sort relief come soon,oh wowwwww that realli aw hope sort relief come soon,oh wowwwww realli aw hope sort relief come soon,9,oh wowwwww realli aw hope sort relief come soon
4,congrat heather excit,congrat heather excit,congrat heather excit,congrat heather excit,3,congrat heather excit
0,theyv make fun blog fair idea,theyv make fun blog fair idea,theyv make fun blog fair idea,theyv make fun blog fair idea,6,theyv make fun blog fair idea
0,guy guy alway make cri,guy guy alway make cri,guy guy alway make cri,guy guy alway make cri,5,guy guy alway make cri
4,ha mr fairytal get twitter,ha mr fairytal get twitter,ha mr fairytal get twitter,ha mr fairyt get twitter,5,ha mr fairyt get twitter
4,listen front tragedi morn,listen front tragedi morn,listen front tragedi morn,listen front tragedi morn,4,listen front tragedi morn
0,hey guy im sad,hey guy im sad,hey guy im sad,hey guy im sad,4,hey guy im sad
0,grandmoth hospit die realli upset bout start school tommorow wooo im actual excit,grandmoth hospit die realli upset bout start school tommorow wooo im actual excit,grandmoth hospit die realli upset bout start school tommorow wooo im actual excit,grandmoth hospit die realli upset bout start school tommorow wooo im actual excit,13,grandmoth hospit die realli upset bout start school tommorow wooo im actual excit
0,less joy sound stutter badli hackintosh quotbugreportquot forum get ignor time switch ubuntu,less joy sound stutter badli hackintosh quotbugreportquot forum get ignor time switch ubuntu,less joy sound stutter badli hackintosh quotbugreportquot forum get ignor time switch ubuntu,less joy sound stutter badli hackintosh forum get ignor time switch ubuntu,12,less joy sound stutter badli hackintosh forum get ignor time switch ubuntu
4,haha psssh way project list que big tri chip way dont fret,haha psssh way project list que big tri chip way dont fret,haha psssh way project list que big tri chip way dont fret,haha psssh way project list que big tri chip way dont fret,12,haha psssh way project list que big tri chip way dont fret
4,errand ae magnolia bakeri sinc send client cake cours get cupcak red velvet,errand ae magnolia bakeri sinc send client cake cours get cupcak red velvet,errand ae magnolia bakeri sinc send client cake cours get cupcak red velvet,errand ae magnolia bakeri sinc send client cake cour get cupcak red velvet,13,errand ae magnolia bakeri sinc send client cake cour get cupcak red velvet
4,ohhthat get read part stori today ive amp havent good chat u,ohhthat get read part stori today ive amp havent good chat u,ohhthat get read part stori today ive amp havent good chat u,ohhthat get read part stori today ive amp havent good chat,11,ohhthat get read part stori today ive amp havent good chat
4,drag aaron away someon cool,drag aaron away someon cool,drag aaron away someon cool,drag aaron away someon cool,5,drag aaron away someon cool
0,duuuud tim said theyr make red vs blue anim seri itll either adult swim g hope coz dont g,duuuud tim said theyr make red vs blue anim seri itll either adult swim g hope coz dont g,duuuud tim said theyr make red vs blue anim seri itll either adult swim g hope coz dont g,duuuud tim said theyr make red vs blue anim seri itll either adult swim hope coz dont,17,duuuud tim said theyr make red vs blue anim seri itll either adult swim hope coz dont
0,god plan alway differ ourstoday gonna long day miss littl kain,god plan alway differ ourstoday gonna long day miss littl kain,god plan alway differ ourstoday gonna long day miss littl kain,god plan alway differ ourstoday gon na long day miss littl kain,12,god plan alway differ ourstoday gon na long day miss littl kain
0,oven spoilt share food got burnt redo wasnt fault,oven spoilt share food got burnt redo wasnt fault,oven spoilt share food got burnt redo wasnt fault,oven spoilt share food got burnt redo wasnt fault,9,oven spoilt share food got burnt redo wasnt fault
4,hmmmmmmm,hmmmmmmm,hmmmmmmm,hmmmmmmm,1,hmmmmmmm
0,english p chemistri tomorrow,english p chemistri tomorrow,english p chemistri tomorrow,english chemistri tomorrow,3,english chemistri tomorrow
0,wish hadnt read londonist report,wish hadnt read londonist report,wish hadnt read londonist report,wish hadnt read londonist report,5,wish hadnt read londonist report
0,come back amsterdam im beg lt,come back amsterdam im beg lt,come back amsterdam im beg lt,come back amsterdam im beg lt,6,come back amsterdam im beg lt
4,board plane outta denver vega hour,board plane outta denver vega hour,board plane outta denver vega hour,board plane outta denver vega hour,6,board plane outta denver vega hour
0,cant make new york weekend see,cant make new york weekend see,cant make new york weekend see,cant make new york weekend see,6,cant make new york weekend see
0,finger numb sinc noon would,finger numb sinc noon would,finger numb sinc noon would,finger numb sinc noon,4,finger numb sinc noon
0,time fli ur break techlong weekend got tech tomorrow that ok one class,time fli ur break techlong weekend got tech tomorrow that ok one class,time fli ur break techlong weekend got tech tomorrow that ok one class,time fli ur break techlong weekend got tech tomorrow ok one class,12,time fli ur break techlong weekend got tech tomorrow ok one class
0,oh fml kind day,oh fml kind day,oh fml kind day,oh fml kind day,4,oh fml kind day
0,damn im stuck name either annabel avaric slave name tiein backstori,damn im stuck name either annabel avaric slave name tiein backstori,damn im stuck name either annabel avaric slave name tiein backstori,damn im stuck name either annabel avar slave name tiein backstori,11,damn im stuck name either annabel avar slave name tiein backstori
0,grrrrr shower chemistri revis,grrrrr shower chemistri revis,grrrrr shower chemistri revis,grrrrr shower chemistri revi,4,grrrrr shower chemistri revi
0,yet real struggl satisfi everyon household time shop crazi busi wel,yet real struggl satisfi everyon household time shop crazi busi wel,yet real struggl satisfi everyon household time shop crazi busi wel,yet real struggl satisfi everyon household time shop crazi busi wel,11,yet real struggl satisfi everyon household time shop crazi busi wel
0,get easili lol,get easili lol,get easili lol,get easili lol,3,get easili lol
4,iphon land facefirst hard bitumen shini new iphon shini new,iphon land facefirst hard bitumen shini new iphon shini new,iphon land facefirst hard bitumen shini new iphon shini new,iphon land facefirst hard bitumen shini new iphon shini new,10,iphon land facefirst hard bitumen shini new iphon shini new
0,aww man yet anoth parti last nighti miss new jersey anyon anyth today,aww man yet anoth parti last nighti miss new jersey anyon anyth today,aww man yet anoth parti last nighti miss new jersey anyon anyth today,aww man yet anoth parti last nighti miss new jersey anyon anyth today,13,aww man yet anoth parti last nighti miss new jersey anyon anyth today
4,today th wed anniversari,today th wed anniversari,today th wed anniversari,today th wed anniversari,4,today th wed anniversari
4,strawberri banana vanilla wafer yogurt land im quit happi right,strawberri banana vanilla wafer yogurt land im quit happi right,strawberri banana vanilla wafer yogurt land im quit happi right,strawberri banana vanilla wafer yogurt land im quit happi right,10,strawberri banana vanilla wafer yogurt land im quit happi right
4,oh ok good glad misunderstood,oh ok good glad misunderstood,oh ok good glad misunderstood,oh ok good glad misunderstood,5,oh ok good glad misunderstood
0,hahaha oh oh fail real song stuck head,hahaha oh oh fail real song stuck head,hahaha oh oh fail real song stuck head,hahaha oh oh fail real song stuck head,8,hahaha oh oh fail real song stuck head
4,sent messag guy might come back year,sent messag guy might come back year,sent messag guy might come back year,sent messag guy come back year,6,sent messag guy come back year
0,brighton yesterday yeah market poor bumb jimmi catherin,brighton yesterday yeah market poor bumb jimmi catherin,brighton yesterday yeah market poor bumb jimmi catherin,brighton yesterday yeah market poor bumb jimmi catherin,8,brighton yesterday yeah market poor bumb jimmi catherin
0,like cant get outta mind good way,like cant get outta mind good way,like cant get outta mind good way,like cant get outta mind good way,7,like cant get outta mind good way
0,awak mideven nap im edit pictur find speaker laptop appear broken,awak mideven nap im edit pictur find speaker laptop appear broken,awak mideven nap im edit pictur find speaker laptop appear broken,awak mideven nap im edit pictur find speaker laptop appear broken,11,awak mideven nap im edit pictur find speaker laptop appear broken
4,yard duti th weeken missin hlp frm boyz lv u son c u tomar still lot left hv nice bbq n mom lemonaid aftr,yard duti th weeken missin hlp frm boyz lv u son c u tomar still lot left hv nice bbq n mom lemonaid aftr,yard duti th weeken missin hlp frm boyz lv u son c u tomar still lot left hv nice bbq n mom lemonaid aftr,yard duti th weeken missin hlp frm boyz lv son tomar still lot left hv nice bbq mom lemonaid aftr,20,yard duti th weeken missin hlp frm boyz lv son tomar still lot left hv nice bbq mom lemonaid aftr
0,pain show uk itun yet,pain show uk itun yet,pain show uk itun yet,pain show uk itun yet,5,pain show uk itun yet
4,woo im appl store london awesom,woo im appl store london awesom,woo im appl store london awesom,woo im appl store london awesom,6,woo im appl store london awesom
4,made bag far hand made yo keep improv,made bag far hand made yo keep improv,made bag far hand made yo keep improv,made bag far hand made yo keep improv,8,made bag far hand made yo keep improv
0,rebgt nnooo cring tv amp embarrass us brummi bless,rebgt nnooo cring tv amp embarrass us brummi bless,rebgt nnooo cring tv amp embarrass us brummi bless,rebgt nnooo cring tv amp embarrass us brummi bless,9,rebgt nnooo cring tv amp embarrass us brummi bless
0,heart break wtf,heart break wtf,heart break wtf,heart break wtf,3,heart break wtf
4,dude next time come go one nicer nyc beach realli want,dude next time come go one nicer nyc beach realli want,dude next time come go one nicer nyc beach realli want,dude next time come go one nicer nyc beach realli want,11,dude next time come go one nicer nyc beach realli want
0,finish anoth head feel like im comin dwn cold,finish anoth head feel like im comin dwn cold,finish anoth head feel like im comin dwn cold,finish anoth head feel like im comin dwn cold,9,finish anoth head feel like im comin dwn cold
0,wish could watch bash,wish could watch bash,wish could watch bash,wish watch bash,3,wish watch bash
4,neither,neither,neither,neither,1,neither
4,hey gr wbu,hey gr wbu,hey gr wbu,hey gr wbu,3,hey gr wbu
4,order far fan edit,order far fan edit,order far fan edit,order far fan edit,4,order far fan edit
4,clothdiap awesom,clothdiap awesom,clothdiap awesom,clothdiap awesom,2,clothdiap awesom
4,podcast episod upload type subscrib pleas wwwrandolphstproductionsmypodcastcom thank,podcast episod upload type subscrib pleas wwwrandolphstproductionsmypodcastcom thank,podcast episod upload type subscrib pleas wwwrandolphstproductionsmypodcastcom thank,podcast episod upload type subscrib plea thank,7,podcast episod upload type subscrib plea thank
4,hellooo im fine,hellooo im fine,hellooo im fine,hellooo im fine,3,hellooo im fine
4,great day today,great day today,great day today,great day today,3,great day today
0,bass easi play guitar hard,bass easi play guitar hard,bass easi play guitar hard,bass easi play guitar hard,5,bass easi play guitar hard
4,great,great,great,great,1,great
0,awww watch tv today kept cut movi commerci,awww watch tv today kept cut movi commerci,awww watch tv today kept cut movi commerci,awww watch tv today kept cut movi commerci,8,awww watch tv today kept cut movi commerci
4,got ps amp killzon,got ps amp killzon,got ps amp killzon,got ps amp killzon,4,got ps amp killzon
0,go sleep caus sinus act,go sleep caus sinus act,go sleep caus sinus act,go sleep cau sinu act,5,go sleep cau sinu act
4,read quotbrwrich quot nice see half live amp realiz one lost money year,read quotbrwrich quot nice see half live amp realiz one lost money year,read quotbrwrich quot nice see half live amp realiz one lost money year,read quotbrwrich quot nice see half live amp realiz one lost money year,13,read quotbrwrich quot nice see half live amp realiz one lost money year
0,squar one realli need bsg game,squar one realli need bsg game,squar one realli need bsg game,squar one realli need bsg game,6,squar one realli need bsg game
0,oh miss u crazi peopl alreadi,oh miss u crazi peopl alreadi,oh miss u crazi peopl alreadi,oh miss crazi peopl alreadi,5,oh miss crazi peopl alreadi
0,littl upset dont know mayb emot im feel realli day like regular cheer self ill b ok,littl upset dont know mayb emot im feel realli day like regular cheer self ill b ok,littl upset dont know mayb emot im feel realli day like regular cheer self ill b ok,littl upset dont know mayb emot im feel realli day like regular cheer self ill ok,16,littl upset dont know mayb emot im feel realli day like regular cheer self ill ok
0,got rain pool,got rain pool,got rain pool,got rain pool,3,got rain pool
0,ah well least eat solid food want bowl cheerio right,ah well least eat solid food want bowl cheerio right,ah well least eat solid food want bowl cheerio right,ah well least eat solid food want bowl cheerio right,10,ah well least eat solid food want bowl cheerio right
0,happen midwest,happen midwest,happen midwest,happen midwest,2,happen midwest
4,day hope wonder,day hope wonder,day hope wonder,day hope wonder,3,day hope wonder
0,goodsex heard guy name got butt,goodsex heard guy name got butt,goodsex heard guy name got butt,goodsex heard guy name got butt,6,goodsex heard guy name got butt
4,cant wait new laptop,cant wait new laptop,cant wait new laptop,cant wait new laptop,4,cant wait new laptop
4,nah look better label top latin name access way need turn anyth,nah look better label top latin name access way need turn anyth,nah look better label top latin name access way need turn anyth,nah look better label top latin name access way need turn anyth,12,nah look better label top latin name access way need turn anyth
0,pleas dont forget french fan,pleas dont forget french fan,pleas dont forget french fan,plea dont forget french fan,5,plea dont forget french fan
4,yeah add yoga teacher mixwait evict notic state except need tax gnite,yeah add yoga teacher mixwait evict notic state except need tax gnite,yeah add yoga teacher mixwait evict notic state except need tax gnite,yeah add yoga teacher mixwait evict notic state except need tax gnite,12,yeah add yoga teacher mixwait evict notic state except need tax gnite
0,lock sinc min late amp meet public school dont blame em still im today,lock sinc min late amp meet public school dont blame em still im today,lock sinc min late amp meet public school dont blame em still im today,lock sinc min late amp meet public school dont blame em still im today,14,lock sinc min late amp meet public school dont blame em still im today
0,noth like turn hour train journey hour journey eh,noth like turn hour train journey hour journey eh,noth like turn hour train journey hour journey eh,noth like turn hour train journey hour journey eh,9,noth like turn hour train journey hour journey eh
4,luv thatthank help wit movement,luv thatthank help wit movement,luv thatthank help wit movement,luv thatthank help wit movement,5,luv thatthank help wit movement
0,isnt pictur show hmmm mayb co ive got face radio twitter,isnt pictur show hmmm mayb co ive got face radio twitter,isnt pictur show hmmm mayb co ive got face radio twitter,isnt pictur show hmmm mayb co ive got face radio twitter,11,isnt pictur show hmmm mayb co ive got face radio twitter
0,favorit famili better get divorc,favorit famili better get divorc,favorit famili better get divorc,favorit famili better get divorc,5,favorit famili better get divorc
4,feel distract cant cocentr studiesit may guy kno jetson awsom lt,feel distract cant cocentr studiesit may guy kno jetson awsom lt,feel distract cant cocentr studiesit may guy kno jetson awsom lt,feel distract cant cocentr studiesit may guy kno jetson awsom lt,11,feel distract cant cocentr studiesit may guy kno jetson awsom lt
0,sittin car rain,sittin car rain,sittin car rain,sittin car rain,3,sittin car rain
0,updat new iphon softwar wish new iphon,updat new iphon softwar wish new iphon,updat new iphon softwar wish new iphon,updat new iphon softwar wish new iphon,7,updat new iphon softwar wish new iphon
0,everyon come town weekendexcit realli rd gp feel age ill let babi fun,everyon come town weekendexcit realli rd gp feel age ill let babi fun,everyon come town weekendexcit realli rd gp feel age ill let babi fun,everyon come town weekendexcit realli rd gp feel age ill let babi fun,13,everyon come town weekendexcit realli rd gp feel age ill let babi fun
0,wish someon get twitta beg come bednop dont anyon,wish someon get twitta beg come bednop dont anyon,wish someon get twitta beg come bednop dont anyon,wish someon get twitta beg come bednop dont anyon,9,wish someon get twitta beg come bednop dont anyon
4,certain local figur act like opportunist infect parti that becom immunocompromis stay tune,certain local figur act like opportunist infect parti that becom immunocompromis stay tune,certain local figur act like opportunist infect parti that becom immunocompromis stay tune,certain local figur act like opportunist infect parti becom immunocompromi stay tune,12,certain local figur act like opportunist infect parti becom immunocompromi stay tune
4,fli paranoid black key much better cant wait album,fli paranoid black key much better cant wait album,fli paranoid black key much better cant wait album,fli paranoid black key much better cant wait album,9,fli paranoid black key much better cant wait album
0,im go bed gotta get tomorrow work,im go bed gotta get tomorrow work,im go bed gotta get tomorrow work,im go bed got ta get tomorrow work,8,im go bed got ta get tomorrow work
0,pillow smell like coffe,pillow smell like coffe,pillow smell like coffe,pillow smell like coff,4,pillow smell like coff
4,anoth sar come,anoth sar come,anoth sar come,anoth sar come,3,anoth sar come
4,dont know account im social worker cant afford go,dont know account im social worker cant afford go,dont know account im social worker cant afford go,dont know account im social worker cant afford go,9,dont know account im social worker cant afford go
4,visit sever time yesterday awesom,visit sever time yesterday awesom,visit sever time yesterday awesom,visit sever time yesterday awesom,5,visit sever time yesterday awesom
0,oh goshi look forward short vacat daysth stress neck heavi,oh goshi look forward short vacat daysth stress neck heavi,oh goshi look forward short vacat daysth stress neck heavi,oh goshi look forward short vacat daysth stress neck heavi,10,oh goshi look forward short vacat daysth stress neck heavi
4,follow would cri tear joy year,follow would cri tear joy year,follow would cri tear joy year,follow cri tear joy year,5,follow cri tear joy year
0,chines food sammi bust least pick two hot pair pump fab pair sued boot fall,chines food sammi bust least pick two hot pair pump fab pair sued boot fall,chines food sammi bust least pick two hot pair pump fab pair sued boot fall,chine food sammi bust least pick two hot pair pump fab pair su boot fall,15,chine food sammi bust least pick two hot pair pump fab pair su boot fall
0,back hotel late la earli morn madrid work day start,back hotel late la earli morn madrid work day start,back hotel late la earli morn madrid work day start,back hotel late la earli morn madrid work day start,10,back hotel late la earli morn madrid work day start
4,ok get new follow check recent tweet anyth find interest list great link,ok get new follow check recent tweet anyth find interest list great link,ok get new follow check recent tweet anyth find interest list great link,ok get new follow check recent tweet anyth find interest list great link,13,ok get new follow check recent tweet anyth find interest list great link
4,that like first day fun though everyon sweet,that like first day fun though everyon sweet,that like first day fun though everyon sweet,like first day fun though everyon sweet,7,like first day fun though everyon sweet
0,said thank tell x,said thank tell x,said thank tell x,said thank tell,3,said thank tell
0,realli stop,realli stop,realli stop,realli stop,2,realli stop
4,good time ny mani good run routespath,good time ny mani good run routespath,good time ny mani good run routespath,good time ny mani good run routespath,7,good time ny mani good run routespath
0,send pic twitterberri send twitpic never sendsjust sit sit,send pic twitterberri send twitpic never sendsjust sit sit,send pic twitterberri send twitpic never sendsjust sit sit,send pic twitterberri send twitpic never sendsjust sit sit,9,send pic twitterberri send twitpic never sendsjust sit sit
0,steve job wont speak wwdc,steve job wont speak wwdc,steve job wont speak wwdc,steve job wont speak wwdc,5,steve job wont speak wwdc
0,ah lordyi h feel get hve mke decis like thisit horribl feel n pit stmch dlc,ah lordyi h feel get hve mke decis like thisit horribl feel n pit stmch dlc,ah lordyi h feel get hve mke decis like thisit horribl feel n pit stmch dlc,ah lordyi feel get hve mke deci like thisit horribl feel pit stmch dlc,14,ah lordyi feel get hve mke deci like thisit horribl feel pit stmch dlc
0,want buy canon eo rebel ti,want buy canon eo rebel ti,want buy canon eo rebel ti,want buy canon eo rebel ti,6,want buy canon eo rebel ti
4,r million whatno celebr congrat aston,r million whatno celebr congrat aston,r million whatno celebr congrat aston,million whatno celebr congrat aston,5,million whatno celebr congrat aston
0,darn mine still,darn mine still,darn mine still,darn mine still,3,darn mine still
4,youv gone independ produc new song bandmem garag,youv gone independ produc new song bandmem garag,youv gone independ produc new song bandmem garag,youv gone independ produc new song bandmem garag,8,youv gone independ produc new song bandmem garag
4,thank awesom night beth victor et al guy rock world,thank awesom night beth victor et al guy rock world,thank awesom night beth victor et al guy rock world,thank awesom night beth victor et al guy rock world,10,thank awesom night beth victor et al guy rock world
0,gym lot pack expect time morn plan work garden gone kaput due weather,gym lot pack expect time morn plan work garden gone kaput due weather,gym lot pack expect time morn plan work garden gone kaput due weather,gym lot pack expect time morn plan work garden gone kaput due weather,13,gym lot pack expect time morn plan work garden gone kaput due weather
0,ohh want go see,ohh want go see,ohh want go see,ohh want go see,4,ohh want go see
0,wish capabl speak mind,wish capabl speak mind,wish capabl speak mind,wish capabl speak mind,4,wish capabl speak mind
0,awww poor babi im sorri u feel way shit wors come ill take care,awww poor babi im sorri u feel way shit wors come ill take care,awww poor babi im sorri u feel way shit wors come ill take care,awww poor babi im sorri feel way shit wor come ill take care,13,awww poor babi im sorri feel way shit wor come ill take care
4,heh see youll get hang quotnon decor prettyquot soap thing yet,heh see youll get hang quotnon decor prettyquot soap thing yet,heh see youll get hang quotnon decor prettyquot soap thing yet,heh see youll get hang quotnon decor prettyquot soap thing yet,11,heh see youll get hang quotnon decor prettyquot soap thing yet
4,hi bruce gonna michel show need help set url show technolog thing,hi bruce gonna michel show need help set url show technolog thing,hi bruce gonna michel show need help set url show technolog thing,hi bruce gon na michel show need help set url show technolog thing,13,hi bruce gon na michel show need help set url show technolog thing
0,appar cant call marsh im pulsa know sumthin wanna tell miss,appar cant call marsh im pulsa know sumthin wanna tell miss,appar cant call marsh im pulsa know sumthin wanna tell miss,appar cant call marsh im pulsa know sumthin wan na tell miss,12,appar cant call marsh im pulsa know sumthin wan na tell miss
4,wow what spam follow morn oh well,wow what spam follow morn oh well,wow what spam follow morn oh well,wow spam follow morn oh well,6,wow spam follow morn oh well
0,bugger road close,bugger road close,bugger road close,bugger road close,3,bugger road close
4,follow follow amp ill follow dday jayz robotpickuplin tetri sim palm pre england,follow follow amp ill follow dday jayz robotpickuplin tetri sim palm pre england,follow follow amp ill follow dday jayz robotpickuplin tetri sim palm pre england,follow follow amp ill follow dday jayz robotpickuplin tetri sim palm pre england,13,follow follow amp ill follow dday jayz robotpickuplin tetri sim palm pre england
4,knoooow feel,knoooow feel,knoooow feel,knoooow feel,2,knoooow feel
4,real account luci hale hayli duff,real account luci hale hayli duff,real account luci hale hayli duff,real account luci hale hayli duff,6,real account luci hale hayli duff
4,shop soon anoth gig tonight look forward see alistair griffin regal room hammersmith,shop soon anoth gig tonight look forward see alistair griffin regal room hammersmith,shop soon anoth gig tonight look forward see alistair griffin regal room hammersmith,shop soon anoth gig tonight look forward see alistair griffin regal room hammersmith,13,shop soon anoth gig tonight look forward see alistair griffin regal room hammersmith
0,wish richard wasnt sick would like see,wish richard wasnt sick would like see,wish richard wasnt sick would like see,wish richard wasnt sick like see,6,wish richard wasnt sick like see
0,senior year come end,senior year come end,senior year come end,senior year come end,4,senior year come end
4,im watch like mind tht kid black jacket mad learn first date bass today time perfect,im watch like mind tht kid black jacket mad learn first date bass today time perfect,im watch like mind tht kid black jacket mad learn first date bass today time perfect,im watch like mind tht kid black jacket mad learn first date bass today time perfect,16,im watch like mind tht kid black jacket mad learn first date bass today time perfect
0,forgot surprisingli cute age,forgot surprisingli cute age,forgot surprisingli cute age,forgot surprisingli cute age,4,forgot surprisingli cute age
4,chanc im watch new moon trailer th time,chanc im watch new moon trailer th time,chanc im watch new moon trailer th time,chanc im watch new moon trailer th time,8,chanc im watch new moon trailer th time
4,u two fun amp think acha,u two fun amp think acha,u two fun amp think acha,two fun amp think acha,5,two fun amp think acha
4,lolzzzz wow,lolzzzz wow,lolzzzz wow,lolzzzz wow,2,lolzzzz wow
4,love old grey,love old grey,love old grey,love old grey,3,love old grey
0,get option x,get option x,get option x,get option,2,get option
4,pool tha crew,pool tha crew,pool tha crew,pool tha crew,3,pool tha crew
0,get headach,get headach,get headach,get headach,2,get headach
0,there noth tv,there noth tv,there noth tv,noth tv,2,noth tv
0,tammi need good drug doin,tammi need good drug doin,tammi need good drug doin,tammi need good drug doin,5,tammi need good drug doin
0,im bore go nan hous soon im gonna evan bore,im bore go nan hous soon im gonna evan bore,im bore go nan hous soon im gonna evan bore,im bore go nan hou soon im gon na evan bore,11,im bore go nan hou soon im gon na evan bore
0,matter mani time tweet never replybum,matter mani time tweet never replybum,matter mani time tweet never replybum,matter mani time tweet never replybum,6,matter mani time tweet never replybum
4,haha pic random dude thought cool took pic,haha pic random dude thought cool took pic,haha pic random dude thought cool took pic,haha pic random dude thought cool took pic,8,haha pic random dude thought cool took pic
0,grabupcom unreach day,grabupcom unreach day,grabupcom unreach day,grabupcom unreach day,3,grabupcom unreach day
4,happi birthday mate well least footbal last night town even rememb,happi birthday mate well least footbal last night town even rememb,happi birthday mate well least footbal last night town even rememb,happi birthday mate well least footbal last night town even rememb,11,happi birthday mate well least footbal last night town even rememb
4,quick swim severn,quick swim severn,quick swim severn,quick swim severn,3,quick swim severn
0,happen last week weather,happen last week weather,happen last week weather,happen last week weather,4,happen last week weather
0,epic spam dad think serena ugli like quotwhi get old ladi play girl high schoolquot,epic spam dad think serena ugli like quotwhi get old ladi play girl high schoolquot,epic spam dad think serena ugli like quotwhi get old ladi play girl high schoolquot,epic spam dad think serena ugli like quotwhi get old ladi play girl high schoolquot,15,epic spam dad think serena ugli like quotwhi get old ladi play girl high schoolquot
4,eatin oh boy,eatin oh boy,eatin oh boy,eatin oh boy,3,eatin oh boy
4,earli gym day morrow sleepi time tomorrow crusad reach music supervisor weed begin believ shall,earli gym day morrow sleepi time tomorrow crusad reach music supervisor weed begin believ shall,earli gym day morrow sleepi time tomorrow crusad reach music supervisor weed begin believ shall,earli gym day morrow sleepi time tomorrow crusad reach music supervisor weed begin believ,14,earli gym day morrow sleepi time tomorrow crusad reach music supervisor weed begin believ
4,love smiley face,love smiley face,love smiley face,love smiley face,3,love smiley face
4,welcom littl twit,welcom littl twit,welcom littl twit,welcom littl twit,3,welcom littl twit
4,hurndon hous go best buy,hurndon hous go best buy,hurndon hous go best buy,hurndon hou go best buy,5,hurndon hou go best buy
0,awww boo miss young dracula co sleep,awww boo miss young dracula co sleep,awww boo miss young dracula co sleep,awww boo miss young dracula co sleep,7,awww boo miss young dracula co sleep
4,ill put name say door need anymor xo,ill put name say door need anymor xo,ill put name say door need anymor xo,ill put name say door need anymor xo,8,ill put name say door need anymor xo
4,im listen miley,im listen miley,im listen miley,im listen miley,3,im listen miley
0,miss boyfriend love joshua daniel hawk,miss boyfriend love joshua daniel hawk,miss boyfriend love joshua daniel hawk,miss boyfriend love joshua daniel hawk,6,miss boyfriend love joshua daniel hawk
